DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#a65628

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n8150,1
n8154,1
n8156,1
n8157,1
n8158,1
n8160,1
n8162,1
n8163,1
n8164,1
n8168,1
n8169,1
n8172,1
n8174,1
n8175,1
n8176,1
n8178,1
n8180,1
n8182,1
n8183,1
n8188,1
n8190,1
n8192,1
n8194,1
n8196,1
n8197,1
n8202,1
n8206,1
n8207,1
n8208,1
n8210,1
n8212,1
n8213,1
n8218,1
n8220,1
n8224,1
n8225,1
n8226,1
n8228,1
n8230,1
n8231,1
n8234,1
n8235,1
n8238,1
n8239,1
n8242,1
n8244,1
n8245,1
n8246,1
n8248,1
n8252,1
n8253,1
n8254,1
n8255,1
n8258,1
n8259,1
n8262,1
n8264,1
n8266,1
n8267,1
n8270,1
n8272,1
n8273,1
n8278,1
n8279,1
n8280,1
n8282,1
n8283,1
n8284,1
n8288,1
n8289,1
n8292,1
n8293,1
n8294,1
n8296,1
n8300,1
n8301,1
n8302,1
n8306,1
n8307,1
n8308,1
n8310,1
n8312,1
n8313,1
n8320,1
n8321,1
n8322,1
n8324,1
n8326,1
n8328,1
n8329,1
n8334,1
n8336,1
n8338,1
n8340,1
n8342,1
n8344,1
n8345,1
n8348,1
n8350,1
n8351,1
n8352,1
n8354,1
n8358,1
n8359,1
n8360,1
n8361,1
n8366,1
n8368,1
n8369,1
n8370,1
n8372,1
n8374,1
n8375,1
n8378,1
n8382,1
n8383,1
n8384,1
n8385,1
n8386,1
n8390,1
n8391,1
n8392,1
n8394,1
n8396,1
n8398,1
n8399,1
n8404,1
n8405,1
n8406,1
n8408,1
n8409,1
n8412,1
n8414,1
n8416,1
n8420,1
n8422,1
n8423,1
n8424,1
n8426,1
n8428,1
n8430,1
n8432,1
n8433,1
n8438,1
n8440,1
n8442,1
n8443,1
n8444,1
n8448,1
n8449,1
n8452,1
n8454,1
n8455,1
n8456,1
n8458,1
n8459,1
n8460,1
n8464,1
n8466,1
n8467,1
n8468,1
n8474,1
n8475,1
n8478,1
n8480,1
n8482,1
n8483,1
n8484,1
n8488,1
n8490,1
n8491,1
n8492,1
n8494,1
n8495,1
n8496,1
n8498,1
n8500,1
n8506,1
n8507,1
n8510,1
n8511,1
n8512,1
n8513,1
n8518,1
n8519,1
n8520,1
n8522,1
n8524,1
n8525,1
n8526,1
n8530,1
n8531,1
n8532,1
n8534,1
n8536,1
n8538,1
n8539,1
n8542,1
n8546,1
n8550,1
n8552,1
n8556,1
n8558,1
n8560,1
n8562,1
n8563,1
n8566,1
n8567,1
n8568,1
n8570,1
n8572,1
n8573,1
n8574,1
n8578,1
n8580,1
n8582,1
n8584,1
n8585,1
n8592,1
n8593,1
n8594,1
n8595,1
n8596,1
n8598,1
n8600,1
n8601,1
n8602,1
n8606,1
n8607,1
n8612,1
n8614,1
n8615,1
n8618,1
n8619,1
n8620,1
n8621,1
n8624,1
n8626,1
n8627,1
n8630,1
n8632,1
n8633,1
n8636,1
n8638,1
n8639,1
n8642,1
n8643,1
n8644,1
n8645,1
n8646,1
n8652,1
n8653,1
n8656,1
n8658,1
n8662,1
n8663,1
n8664,1
n8666,1
n8667,1
n8670,1
n8672,1
n8674,1
n8675,1
n8676,1
n8678,1
n8682,1
n8684,1
n8685,1
n8688,1
n8689,1
n8692,1
n8693,1
n8694,1
n8695,1
n8698,1
n8702,1
n8704,1
n8705,1
n8706,1
n8708,1
n8709,1
n8712,1
n8713,1
n8718,1
n8720,1
n8721,1
n8726,1
n8727,1
n8728,1
n8730,1
n8731,1
n8734,1
n8736,1
n8737,1
n8738,1
n8740,1
n8742,1
n8746,1
n8747,1
n8748,1
n8749,1
n8752,1
n8754,1
n8756,1
n8758,1
n8760,1
n8761,1
n8766,1
n8768,1
n8770,1
n8771,1
n8776,1
n8777,1
n8778,1
n8780,1
n8782,1
n8783,1
n8784,1
n8786,1
n8788,1
n8790,1
n8792,1
n8796,1
n8797,1
n8798,1
n8799,1
n8802,1
n8804,1
n8806,1
n8808,1
n8809,1
n8812,1
n8813,1
n8814,1
n8816,1
n8818,1
n8824,1
n8825,1
n8826,1
n8828,1
n8829,1
n8832,1
n8833,1
n8834,1
n8838,1
n8840,1
n8842,1
n8846,1
n8847,1
n8850,1
n8851,1
n8854,1
n8855,1
n8856,1
n8858,1
n8859,1
n8860,1
n8864,1
n8866,1
n8868,1
n8870,1
n8872,1
n8874,1
n8876,1
n8878,1
n8879,1
n8882,1
n8884,1
n8886,1
n8887,1
n8888,1
n8892,1
n8894,1
n8895,1
n8896,1
n8898,1
n8900,1
n8901,1
n8976,1
