DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#984ea3

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n1818,1
n1819,1
n5012,1
n5194,1
n5200,1
n5206,1
n5207,1
n5208,1
n5209,1
n5210,1
n5212,1
n5214,1
n5215,1
n5224,1
n5226,1
n5230,1
n5232,1
n5233,1
n5236,1
n5237,1
n5238,1
n5239,1
n5242,1
n5244,1
n5245,1
n5248,1
n5250,1
n5252,1
n5253,1
n5254,1
n5256,1
n5258,1
n5259,1
n5264,1
n5266,1
n5267,1
n5268,1
n5270,1
n5272,1
n5274,1
n5276,1
n5278,1
n5279,1
n5282,1
n5284,1
n5288,1
n5292,1
n5293,1
n5294,1
n5295,1
n5298,1
n5300,1
n5302,1
n5303,1
n5306,1
n5308,1
n5309,1
n5310,1
n5312,1
n5314,1
n5315,1
n5318,1
n5320,1
n5322,1
n5323,1
n5328,1
n5330,1
n5331,1
n5332,1
n5334,1
n5335,1
n5336,1
n5340,1
n5341,1
n5346,1
n5348,1
n5350,1
n5351,1
n5354,1
n5355,1
n5358,1
n5360,1
n5361,1
n5362,1
n5364,1
n5365,1
n5370,1
n5371,1
n5372,1
n5374,1
n5376,1
n5377,1
n5380,1
n5384,1
n5385,1
n5388,1
n5389,1
n5390,1
n5392,1
n5393,1
n5664,1
n6340,1
n8746,1
n8747,1
n8748,1
n8749,1
n9286,1
n9300,1
n9302,1
n9304,1
n9305,1
n9306,1
n9308,1
n9310,1
n9312,1
n9313,1
n9714,1
n9715,1
n12552,1
n17390,1
n18762,1
n24637,1
n25846,1
n29588,1
n29589,1
n29750,1
n29751,1
