DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#377eb8

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n648,1
n914,1
n1142,1
n1143,1
n1144,1
n1146,1
n1147,1
n1148,1
n1154,1
n1156,1
n1157,1
n1158,1
n1162,1
n1164,1
n1165,1
n1166,1
n1168,1
n1170,1
n1171,1
n1176,1
n1177,1
n1178,1
n1180,1
n1184,1
n1185,1
n1186,1
n1188,1
n1189,1
n1192,1
n1194,1
n1196,1
n1197,1
n1200,1
n1202,1
n1203,1
n1206,1
n1207,1
n1210,1
n1212,1
n1214,1
n1215,1
n1218,1
n1220,1
n1222,1
n1223,1
n1226,1
n1227,1
n1228,1
n1230,1
n1232,1
n1234,1
n1235,1
n1242,1
n1243,1
n1244,1
n1246,1
n1248,1
n1250,1
n1252,1
n1254,1
n1255,1
n1258,1
n1260,1
n1261,1
n1262,1
n1266,1
n1267,1
n1268,1
n1270,1
n1271,1
n1272,1
n1274,1
n1280,1
n1282,1
n1284,1
n1285,1
n1288,1
n1290,1
n1292,1
n1293,1
n1294,1
n1298,1
n1299,1
n1300,1
n1302,1
n1303,1
n1306,1
n1307,1
n1314,1
n1315,1
n1316,1
n1318,1
n1319,1
n1322,1
n1324,1
n1325,1
n1326,1
n1328,1
n1330,1
n1331,1
n1335,1
n1338,1
n1340,1
n1341,1
n1342,1
n1346,1
n1347,1
n1348,1
n1350,1
n1352,1
n1354,1
n1356,1
n1358,1
n1359,1
n1828,1
n1830,1
n1831,1
n6436,1
n7560,1
n7562,1
n7563,1
n7644,1
n7646,1
n7652,1
n7656,1
n7660,1
n7661,1
n7662,1
n7663,1
n7666,1
n7667,1
n7670,1
n7671,1
n7672,1
n7673,1
n7674,1
n7676,1
n7680,1
n7682,1
n7684,1
n7685,1
n7688,1
n7690,1
n7691,1
n7692,1
n7694,1
n7696,1
n7698,1
n7699,1
n7700,1
n7704,1
n7705,1
n7706,1
n7710,1
n7711,1
n7714,1
n7720,1
n7722,1
n7723,1
n7724,1
n7730,1
n7731,1
n7732,1
n7733,1
n7734,1
n7736,1
n7738,1
n7740,1
n7741,1
n7746,1
n7747,1
n7748,1
n7750,1
n7751,1
n7754,1
n7755,1
n7758,1
n7760,1
n7761,1
n7762,1
n7764,1
n7766,1
n7767,1
n7770,1
n7771,1
n7772,1
n7778,1
n7779,1
n7780,1
n7784,1
n7785,1
n7786,1
n7788,1
n7789,1
n7792,1
n7793,1
n7796,1
n7798,1
n7799,1
n7804,1
n7805,1
n7806,1
n7808,1
n7809,1
n7810,1
n7816,1
n7817,1
n7820,1
n7821,1
n7822,1
n7824,1
n7825,1
n7830,1
n7831,1
n7834,1
n7835,1
n7838,1
n7839,1
n7840,1
n7841,1
n7844,1
n7845,1
n7848,1
n7849,1
n7852,1
n7854,1
n7855,1
n7858,1
n7859,1
n7860,1
n7861,1
n8212,1
n8213,1
n8328,1
n8864,1
n8866,1
n8868,1
n8870,1
n8872,1
n8874,1
n8876,1
n8878,1
n8879,1
n8882,1
n8884,1
n8886,1
n8887,1
n8888,1
n8892,1
n8894,1
n8895,1
n8896,1
n8898,1
n8900,1
n8901,1
n12594,1
n22920,1
n26531,1
n29740,1
