DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#4daf4a

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n832,1
n834,1
n835,1
n2392,1
n2393,1
n6280,1
n6281,1
n7012,1
n7013,1
n7619,1
n7898,1
n9737,1
n9930,1
n9934,1
n9936,1
n9937,1
n9940,1
n9941,1
n9966,1
n9968,1
n9974,1
n9976,1
n9977,1
n9978,1
n9984,1
n9986,1
n9988,1
n9990,1
n9992,1
n9993,1
n9996,1
n9997,1
n9998,1
n10000,1
n10002,1
n10004,1
n10006,1
n10007,1
n10010,1
n10012,1
n10014,1
n10015,1
n10018,1
n10019,1
n10020,1
n10022,1
n10026,1
n10028,1
n10032,1
n10034,1
n10035,1
n10036,1
n10038,1
n10040,1
n10042,1
n10044,1
n10046,1
n10047,1
n10052,1
n10053,1
n10054,1
n10055,1
n10058,1
n10059,1
n10060,1
n10062,1
n10064,1
n10066,1
n10068,1
n10069,1
n10074,1
n10075,1
n10076,1
n10078,1
n10079,1
n10080,1
n10088,1
n10090,1
n10092,1
n10093,1
n10094,1
n10098,1
n10100,1
n10101,1
n10102,1
n10106,1
n10108,1
n10109,1
n10110,1
n10112,1
n10114,1
n10116,1
n10117,1
n10120,1
n10122,1
n10124,1
n10126,1
n10127,1
n10128,1
n10132,1
n10136,1
n10140,1
n10141,1
n10142,1
n10144,1
n10145,1
n10146,1
n10148,1
n10150,1
n10154,1
n10155,1
n10156,1
n10158,1
n10159,1
n10164,1
n10166,1
n10167,1
n10170,1
n10171,1
n10172,1
n10174,1
n10175,1
n10178,1
n10179,1
n10182,1
n10183,1
n10184,1
n10186,1
n10190,1
n10191,1
n10192,1
n10194,1
n10196,1
n10197,1
n10198,1
n10204,1
n10206,1
n10207,1
n10210,1
n10212,1
n10213,1
n10216,1
n10217,1
n10220,1
n10221,1
n10222,1
n10223,1
n10228,1
n10229,1
n10232,1
n10234,1
n10236,1
n10237,1
n10238,1
n10242,1
n10243,1
n10246,1
n10248,1
n10250,1
n10252,1
n10254,1
n10256,1
n10257,1
n10258,1
n10262,1
n10263,1
n10264,1
n10266,1
n10268,1
n10270,1
n10274,1
n10276,1
n10277,1
n10280,1
n10282,1
n10284,1
n10285,1
n10286,1
n10292,1
n10294,1
n10296,1
n10297,1
n10298,1
n10302,1
n10303,1
n10304,1
n10306,1
n10307,1
n10308,1
n10310,1
n10312,1
n10314,1
n10316,1
n10318,1
n10320,1
n10322,1
n10324,1
n10325,1
n10328,1
n10330,1
n10332,1
n10333,1
n10334,1
n10338,1
n10342,1
n10344,1
n10345,1
n10346,1
n10348,1
n10354,1
n10355,1
n10356,1
n10357,1
n10358,1
n10362,1
n10363,1
n10364,1
n10366,1
n10367,1
n10368,1
n10372,1
n10374,1
n10378,1
n10380,1
n10381,1
n10382,1
n10388,1
n10389,1
n10390,1
n10392,1
n10393,1
n10394,1
n10396,1
n10400,1
n10401,1
n10402,1
n10406,1
n10408,1
n10410,1
n10412,1
n10413,1
n10414,1
n10418,1
n10419,1
n10422,1
n10423,1
n10424,1
n10425,1
n10428,1
n10429,1
n10430,1
n10432,1
n10434,1
n10436,1
n10438,1
n10440,1
n10442,1
n10444,1
n10448,1
n10449,1
n10450,1
n10452,1
n10456,1
n10458,1
n10460,1
n10462,1
n10464,1
n10466,1
n10468,1
n10469,1
n10470,1
n10472,1
n10474,1
n10476,1
n10478,1
n10480,1
n10482,1
n10483,1
n10652,1
n12206,1
n12650,1
n12652,1
n12653,1
n12666,1
n12686,1
n13535,1
n14100,1
n14450,1
n16643,1
n16697,1
n18086,1
n18090,1
n18092,1
n18093,1
n19574,1
n20453,1
n22028,1
n22029,1
n22030,1
n22031,1
n22198,1
n22233,1
n22344,1
n23798,1
n24200,1
n24202,1
n24203,1
n24344,1
n26954,1
n28234,1
