DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#e41a1c

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n862,1
n872,1
n873,1
n1832,1
n1924,1
n2028,1
n2401,1
n3422,1
n3766,1
n3824,1
n3825,1
n3826,1
n3828,1
n3830,1
n3832,1
n3834,1
n3836,1
n3838,1
n3840,1
n3844,1
n3846,1
n3847,1
n3850,1
n3851,1
n3852,1
n3854,1
n3856,1
n3857,1
n4294,1
n4902,1
n5152,1
n5154,1
n5155,1
n5174,1
n6462,1
n6466,1
n6470,1
n6472,1
n6473,1
n6474,1
n6478,1
n6482,1
n6483,1
n6484,1
n6486,1
n6488,1
n6489,1
n6490,1
n6492,1
n6500,1
n6501,1
n6504,1
n6505,1
n6506,1
n6508,1
n6509,1
n6512,1
n6513,1
n6514,1
n6516,1
n6518,1
n6520,1
n6521,1
n6524,1
n6525,1
n6526,1
n6532,1
n6534,1
n6536,1
n6537,1
n6542,1
n6544,1
n6546,1
n6547,1
n6550,1
n6551,1
n6552,1
n6554,1
n6556,1
n6558,1
n6560,1
n6561,1
n6562,1
n6566,1
n6568,1
n6569,1
n6570,1
n6576,1
n6578,1
n6579,1
n6580,1
n6584,1
n6585,1
n6586,1
n6587,1
n6590,1
n6591,1
n6594,1
n6596,1
n6597,1
n6600,1
n6601,1
n6602,1
n6604,1
n6606,1
n6607,1
n6610,1
n6616,1
n6617,1
n6620,1
n6621,1
n6622,1
n6626,1
n6627,1
n6630,1
n6632,1
n6634,1
n6635,1
n6636,1
n6638,1
n6640,1
n6641,1
n6644,1
n6648,1
n6649,1
n6650,1
n6654,1
n6655,1
n6656,1
n6658,1
n6660,1
n6661,1
n6666,1
n6668,1
n6669,1
n6670,1
n6672,1
n6673,1
n6676,1
n6677,1
n6682,1
n6683,1
n6686,1
n6688,1
n6689,1
n6690,1
n6692,1
n6694,1
n6696,1
n6698,1
n6699,1
n6702,1
n6703,1
n6706,1
n6708,1
n6710,1
n6711,1
n6714,1
n6715,1
n6718,1
n6719,1
n6720,1
n6722,1
n6723,1
n6726,1
n6728,1
n6734,1
n6735,1
n6736,1
n6738,1
n6739,1
n6742,1
n6744,1
n6745,1
n6746,1
n6748,1
n6749,1
n6754,1
n6755,1
n6758,1
n6760,1
n6762,1
n6764,1
n6765,1
n6766,1
n6770,1
n6771,1
n6772,1
n6774,1
n6775,1
n6778,1
n6780,1
n6781,1
n6784,1
n6786,1
n6787,1
n6792,1
n6793,1
n6794,1
n6796,1
n6800,1
n6802,1
n6803,1
n6804,1
n6806,1
n6808,1
n6809,1
n6814,1
n6815,1
n6820,1
n6821,1
n6822,1
n6823,1
n6824,1
n6826,1
n6830,1
n6831,1
n6832,1
n6833,1
n6838,1
n6840,1
n6842,1
n6844,1
n6845,1
n6848,1
n6849,1
n6850,1
n6852,1
n6853,1
n6854,1
n6858,1
n6860,1
n6862,1
n6864,1
n6865,1
n6866,1
n6870,1
n6871,1
n6872,1
n6876,1
n6877,1
n6878,1
n6879,1
n7162,1
n7164,1
n7165,1
n7166,1
n7168,1
n7170,1
n7172,1
n7173,1
n7210,1
n7232,1
n7600,1
n7602,1
n7604,1
n7606,1
n7608,1
n7610,1
n7611,1
n8164,1
n8235,1
n8342,1
n8344,1
n8345,1
n8568,1
n8786,1
n8792,1
n8796,1
n8797,1
n8798,1
n8799,1
n9040,1
n9042,1
n9043,1
n9259,1
n9406,1
n9784,1
n10692,1
n10888,1
n10889,1
n10891,1
n11464,1
n11466,1
n11467,1
n11671,1
n11690,1
n11694,1
n11695,1
n11742,1
n12626,1
n12628,1
n12629,1
n12732,1
n13374,1
n13375,1
n13593,1
n13692,1
n13694,1
n13698,1
n13699,1
n13702,1
n13704,1
n13705,1
n13706,1
n13708,1
n13710,1
n13711,1
n13757,1
n14393,1
n14974,1
n15138,1
n15140,1
n15142,1
n15143,1
n16716,1
n17572,1
n17670,1
n17672,1
n17673,1
n17742,1
n17770,1
n17771,1
n17772,1
n17896,1
n17947,1
n17980,1
n17981,1
n18052,1
n18054,1
n18056,1
n18058,1
n18059,1
n18498,1
n18540,1
n18545,1
n18550,1
n18551,1
n18552,1
n18553,1
n18724,1
n19038,1
n22966,1
n22968,1
n22969,1
n23867,1
n24170,1
n25036,1
n25502,1
n25889,1
n25920,1
n26356,1
n26568,1
n26584,1
n26585,1
n26598,1
n27172,1
n27173,1
n27582,1
n28406,1
n28876,1
n29678,1
n29680,1
n29681,1
