DATASET_BINARY

SEPARATOR COMMA

DATASET_LABEL,binary

COLOR,#e41a1c

FIELD_SHAPES,1

FIELD_LABELS,f1

DATA
n668,1
n896,1
n897,1
n1627,1
n1846,1
n1847,1
n2420,1
n2558,1
n2560,1
n2561,1
n2648,1
n2649,1
n3234,1
n3238,1
n3240,1
n3242,1
n3243,1
n3244,1
n3246,1
n3250,1
n3252,1
n3253,1
n3254,1
n3258,1
n3259,1
n3260,1
n3262,1
n3263,1
n3424,1
n3475,1
n4242,1
n5022,1
n5112,1
n5158,1
n5566,1
n5568,1
n5570,1
n5571,1
n5676,1
n6439,1
n7149,1
n7234,1
n7525,1
n7554,1
n7555,1
n7872,1
n8000,1
n8034,1
n8035,1
n8168,1
n8169,1
n8202,1
n8234,1
n8340,1
n8498,1
n8500,1
n8506,1
n8507,1
n8510,1
n8511,1
n8512,1
n8513,1
n8518,1
n8519,1
n8520,1
n8522,1
n8524,1
n8525,1
n8526,1
n8530,1
n8531,1
n8532,1
n8534,1
n8536,1
n8538,1
n8539,1
n8726,1
n8782,1
n8788,1
n8804,1
n8813,1
n8964,1
n9234,1
n9242,1
n9250,1
n9290,1
n9372,1
n9512,1
n9513,1
n10590,1
n10591,1
n10892,1
n10896,1
n10898,1
n10899,1
n10900,1
n10904,1
n10906,1
n10908,1
n10909,1
n10912,1
n10916,1
n10917,1
n10918,1
n10919,1
n10920,1
n10922,1
n10924,1
n10926,1
n10928,1
n10929,1
n10930,1
n10932,1
n10934,1
n10940,1
n10942,1
n10944,1
n10945,1
n10946,1
n10948,1
n10952,1
n10953,1
n10954,1
n10955,1
n10956,1
n10958,1
n10960,1
n10964,1
n10965,1
n10966,1
n10968,1
n10972,1
n10974,1
n10975,1
n10976,1
n10978,1
n10980,1
n10982,1
n10983,1
n11288,1
n11382,1
n11610,1
n11611,1
n11620,1
n11666,1
n11744,1
n11746,1
n11747,1
n11774,1
n11780,1
n11914,1
n11915,1
n11946,1
n12434,1
n12535,1
n12730,1
n13019,1
n13079,1
n13084,1
n13238,1
n13261,1
n13410,1
n13426,1
n13427,1
n13504,1
n13762,1
n13830,1
n13974,1
n14246,1
n14248,1
n14252,1
n14254,1
n14255,1
n14258,1
n14260,1
n14261,1
n14262,1
n14264,1
n14265,1
n14768,1
n14770,1
n14772,1
n14773,1
n14829,1
n16340,1
n16341,1
n16352,1
n16458,1
n16502,1
n16576,1
n17388,1
n17482,1
n17524,1
n17674,1
n17682,1
n17684,1
n17686,1
n17688,1
n17690,1
n17692,1
n17694,1
n17695,1
n17696,1
n17702,1
n17703,1
n17704,1
n17705,1
n17706,1
n17708,1
n17710,1
n17714,1
n17715,1
n17716,1
n17718,1
n17719,1
n17902,1
n17903,1
n17984,1
n18106,1
n18228,1
n18230,1
n18231,1
n18252,1
n18694,1
n18695,1
n18696,1
n18698,1
n18700,1
n18701,1
n18896,1
n21662,1
n21816,1
n22740,1
n23142,1
n23568,1
n23946,1
n24061,1
n24212,1
n24594,1
n24720,1
n24906,1
n24907,1
n26589,1
n27082,1
n27096,1
n27108,1
n27198,1
n27199,1
n27818,1
n28692,1
n29478,1
n29480,1
n29481,1
